time,open,high,low,close,volume
2026-01-01 00:00,2385.00,2386.20,2384.80,2385.70,1200
2026-01-01 00:01,2385.70,2386.50,2385.40,2386.10,1350
2026-01-01 00:02,2386.10,2386.80,2385.90,2386.50,1420
2026-01-01 00:03,2386.50,2387.10,2386.20,2386.90,1280
2026-01-01 00:04,2386.90,2387.60,2386.70,2387.40,1510
2026-01-01 00:05,2387.40,2387.90,2387.10,2387.50,1460
2026-01-01 00:06,2387.50,2387.80,2387.00,2387.20,1395
2026-01-01 00:07,2387.20,2387.40,2386.70,2386.90,1310
2026-01-01 00:08,2386.90,2387.10,2386.40,2386.60,1240
2026-01-01 00:09,2386.60,2386.80,2386.10,2386.30,1180
